toko,nama_produk,harga,harga_origin,diskon,rating,jumlah_review,jumlah_terjual,lokasi,kategori,brand,url_produk,url_gambar,tanggal_scraping
Dandan Online,[NEW] DAZZLE ME Get A Grip Makeup Setting Spray Prime+Set 50ml,Rp53.000,Rp54.275,Hemat 2% dengan voucher,4.9,2.0,5,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i8420284427.html,https://img.lazcdn.com/g/p/5ec735e572ecebfb7c14caf5c361dca6.jpg_400x400q75.jpg,2026-04-07
Dandan Online,Citra UV Body Lotion Pearl 210ml,Rp20.987,Rp27.815,Hemat 25% dengan voucher,5.0,2.0,10,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i18815374731.html,https://img.lazcdn.com/g/p/a7ac22f730e4ddb4836dc7c8e8a69551.jpg_400x400q75.jpg,2026-04-07
Dandan Online,SENKA Perfect White Beauty Foam,Rp42.400,Rp43.145,Hemat 2% dengan voucher,4.9,8.0,31,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i8395954739.html,https://img.lazcdn.com/g/p/be93eb47b7c2e4b11adcead41689343a.jpg_400x400q75.jpg,2026-04-07
Dandan Online,FACETOLOGY Triple Care Facial Gel Cleanser 100ml,Rp66.500,Rp68.450,Hemat 3% dengan voucher,,0.0,,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i8622000991.html,https://img.lazcdn.com/g/p/f3c96a1f352a73241ae73c3011009b77.jpg_400x400q75.jpg,2026-04-07
Dandan Online,Hanasui Micellar Water 300ml - Bright & Clear,Rp38.999,Rp62.990,Hemat 38% dengan voucher,,0.0,,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i18818391452.html,https://img.lazcdn.com/g/p/bdb4c0ff4eed40681b627d3d162a8293.jpg_400x400q75.jpg,2026-04-07
Dandan Online,DAZZLE ME The World Traveler Eyeshadow Palette 8Gr (465928),Rp53.000,Rp54.275,Hemat 2% dengan voucher,,0.0,,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i8798352750.html,https://img.lazcdn.com/g/p/9a92c233d52e428c793db4fb3ac0cc27.jpg_400x400q75.jpg,2026-04-07
Dandan Online,Souji Hand Wash Refill 375ml 427730,Rp11.950,Rp13.010,Hemat 8% dengan voucher,5.0,23.0,103,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i6919988169.html,https://img.lazcdn.com/g/p/836e2cf939175338e0be169df706b74f.jpg_400x400q75.jpg,2026-04-07
Dandan Online,SLAVINA Body Lotion Shooting Stars 200Ml (450315),Rp40.936,Rp53.225,Hemat 23% dengan voucher,,0.0,22,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i8790748803.html,https://img.lazcdn.com/g/p/b3024e932c7dea3d67327aa4072cc197.jpg_400x400q75.jpg,2026-04-07
Dandan Online,Cussons Baby Cream 50gr - All Variant,Rp15.750,Rp22.250,Hemat 29% dengan voucher,,0.0,,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i8828338791.html,https://img.lazcdn.com/g/p/3c031aa518f03bb2b48542b3e687b126.jpg_400x400q75.jpg,2026-04-07
Dandan Online,WARDAH Crystal Secret Foaming Cleanser 100ml,Rp45.400,Rp46.295,Hemat 2% dengan voucher,5.0,3.0,13,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i8682846336.html,https://img.lazcdn.com/g/p/ae9a89101ad805db7163422c3ff7a04a.jpg_400x400q75.jpg,2026-04-07
Dandan Online,WARDAH Face Wash Renew You NMF Amino Ceramide Facial Wash 100Ml (421572),Rp48.000,Rp49.025,Hemat 2% dengan voucher,,0.0,,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i8789976144.html,https://img.lazcdn.com/g/p/073e29efb5009a595453a2e08487ff89.jpg_400x400q75.jpg,2026-04-07
